Tipo de Carta,Nombre de Carta,Texto de la Carta,Tipo de Magia,Tipo de Trampa,Tipo de Monstruo,Atributo,Nivel/Rango/Escala/Enlace,ATK,DEF,Fecha de Publicación de la Carta,Rareza,Método de Obtención
Monstruo,Dragon Blanco de Ojos Azules,#,#,#,Dragon,Luz,8,3000,2500,11/01/2017,UR,Gratis
Monstruo,Dragon Negro de Ojos Rojos,#,#,#,Dragon,Oscuridad,7,2400,2000,11/01/2017,UR,Gratis
Monstruo,Mago Oscuro,#,#,#,Lanzador de Conjuros,Oscuridad,7,2500,2100,11/01/2017,UR,Gratis
Monstruo,Dragon Cañon,Una vez por turno: puedes seleccionar 1 monstruo que controle tu adversario; lanza una moneda 3 veces y drestruyelo si al menos 2 de los resultados son Cara.,#,#,Maquina,Oscuridad,7,2600,2200,11/01/2017,UR,Gratis
Monstruo,Reina Insecto,"No puede declarar un ataque a menos que Sacrifiques 1 monstruo. Esta carta gana 200 ATK por cada monstruo de Tipo Insecto en el Campo. Durante la End Phase, si este turno esta carta destruyo un monstruo de tu adversario en batalla: Invoca de Modo Especial 1 ""Ficha Monstruo Insecto"" (Tipo Insecto/TIERRA/Nivel 1/ATK 100/DEF 100) en Posicion de Ataque.",#,#,Insecto,Tierra,7,2200,2400,11/01/2017,UR,Gratis
Monstruo,Chica Maga Oscura,"Esta carta gana 300 ATK por cada ""Mago Oscuro"" o ""Mago del Caos Negro"" en el cementerio de cualquier jugador.",#,#,Lanzador de Conjuros,Oscuridad,6,2000,1700,11/01/2017,UR,Gratis
Monstruo,Hermanas de la Dama Arpia,"No puede ser Invocada de Modo Normal/Colocada. Debe ser primero Invocada de Modo Especial con ""Egoista Elegante"".",#,#,Bestia Alada,Viento,6,1950,2100,11/01/2017,UR,Gratis
Monstruo,Parasito Paracida,"VOLTEO: Pon esta carta boca arriba en el Deck de tu adversario y barajala. Cuando tu adversario roba esta carta, es Invocada mediane una Invocacion Especial al Campo de tu adversario en Posicion de Defensa boca arriba e inflige 1000 puntos de daño a sus Life Points. Entonces, mientras esta carta permanezca boca arriba en el Campo, todos los monstruos que tu adversario controle se convierten en monstruos Tipo Insecto.",#,#,Insecto/Volteo,Tierra,2,500,300,11/01/2017,R,Gratis
Monstruo,Pajaro Sonico,"Cuando este monstruo es Invocado de Modo Normal o por Volteo, puedes seleccionar 1 Carta Magica de Ritual de tu Deck y añadirla a tu mano",#,#,Bestia Alada,Viento,4,1400,1000,17/01/2017,UR,Caja Grande
Monstruo,Invocador de Ilusiones,"VOLETO: Sacrifica otro monstruo y, si lo haces, Invoca de Modo Especial 1 Monstruo de Fusion desde tu Deck Extra, pero destruyelo durante la End Phase de este turno.",#,#,Lanzador de Conjuros/Volteo,Luz,3,800,900,17/01/2017,UR,Caja Grande
Monstruo,Hane-Hane,VOLETO: Selecciona 1 monstruo en el Campo y devuelvelo a la mano de su propietario.,#,#,Bestia/Volteo,Tierra,2,450,500,17/01/2017,UR,Caja Grande
Monstruo,Esfera Kuriboh,"Cuando un monstruo de tu adversario declara un ataque: puedes mandar al Cementerio esta carta en tu mano; cambia al monstruo atacante a Posicion de Defensa. Cuando Invocas un monstruo de Titual, puedes desterrar esta carta en tu Cementerio como 1 de los monstruos requeridos para la Invocacion por Ritual.",#,#,Demonio,Oscuridad,1,300,200,17/01/2017,UR,Caja Grande
Monstruo,Diosa con el Tercer Ojo,"Puedes sustituir esta carta por cualquier Monstruo Material de Fusion. Cuando hace esto, el o los otros Monstruos Material de Fusion deben ser los correctos.",#,#,Hada,Luz,4,1200,1000,17/01/2017,R,Gratis
Monstruo,Dragon de Trueno,"Descarta esta carta de tu mano para añadir hasta 2 cartas ""Dragon de Trueno"" de tu deck a tu mano. Luego baraja a tu deck. Este efecto solo puede ser activado durante tu Main Phase.",#,#,Trueno,Luz,5,1600,1500,29/01/2017,UR,Gratis
Monstruo,Invocador del Dragon Azul,"Si esta carta es mandada del Campo al Cementerio: puedes añadir a tu mano 1 Monstruo Normal de Tipo Dragon , Guerrero o Lanzador de Conjugor en tu Deck.",#,#,Lanzador de Conjuros,Viento,4,1500,600,29/01/2017,SR,Gratis
Monstruo,Sabia Amazoness,"Al final del Damage Step, si esta carta ataco y todavia esta en el Campo: selecciona 1 Carta Mafica/de Trampa que controle tu adversario; destruye ese objetivo.",#,#,Guerrero,Tierra,4,1400,700,29/01/2017,SR,Gratis
Monstruo,Tigre Amazoness,"Solo puedes controlar 1 ""Tigre Amazoness"". Esta carta gana 400 ATK por cada monstruo ""Amazoness"" que controles. Tu adversario no puede atacar a ningun monstruo ""Amazoness"" boca arriba, excepto este.",#,#,Bestia,Tierra,4,1100,1500,29/01/2017,SR,Gratis
Monstruo,Ladybug de 4 estrellas de la Perdicion,VOLTEO: Destruye todos los monstruos de Nivel 4 que controle tu adversario.,#,#,Insecto/Volteo,Viento,4,800,1200,29/01/2017,SR,Caja Grande
Monstruo,Reclutador del Cuidador de Tumbas,"Cuando esta carta que controlas es mandada a tu Cementerio: añade a tu mano, desde tu Deck, 1 monstruo ""Cuidador de Tumbas"" con 1500 DEF o menos.",#,#,Lanzador de Conjuros,Oscuridad,3,1200,1500,29/01/2017,SR,Gratis
Monstruo,Sacedortisa del Cuidador de Tumbas,"Mientras no haya una Carta Magica de Campo boca arriba, el Campo se trata como ""Necrovalle"". Todos los monstruos ""Cuidador de Tumbas"" ganan 200 ATK y DEF.",#,#,Lanzador de Conjuros,Oscuridad,3,1000,1500,29/01/2017,SR,Gratis
Monstruo,Jarra de Cobra,"VOLTEO: Invoca mediante una Invocacion Especial 1 ""Ficha de Serpiente Venenosa""(Tipo Reptil/TIERRA/NIVEL 3/ATK 1200/DEF 1200) en tu Campo. Si la ""Ficha de Serpiente Venenosa"" es destruida como resultado de una batalla, inflige 500 puntos a los Life Point de tu adversario.",#,#,Reptil/Volteo,Tierra,2,600,300,29/01/2017,SR,Gratis
Monstruo,Ciberstein,Paga 5000 Life Points. Invoca mediante una Invocacion Especial 1 Monstruo de Fusion de tu Deck Extra al Campo en Posicion de Ataque.,#,#,Maquina,Oscuridad,2,700,500,29/01/2017,R,Gratis
Monstruo,Ninja Armado,"VOLTEO: Selecciona 1 Carta Magica en el Campo; destruye ese objetivo. (Si el objetivo esta Colocado, muestralo y destruyelo si es una Carta Magica. En caso contrario, devuelvelo a su posicion original).",#,#,Guerrero/Volteo,Tierra,1,300,300,29/01/2017,R,Gratis
Monstruo,Ninja Escarlata,"VOLTEO: Selecciona 1 Carta de Trampa en el Campo; destruye ese objetivo. (Si el objetivo esta Colocado, muestralo, y destruyelo si es una Carta de Trampa. En caso contrario, devuelvelo a su posicion original).",#,#,Guerrero/Volteo,Tierra,1,300,300,29/01/2017,R,Gratis
Monstruo,Renunciado,"Puede Invocar esta carta por Ritual con ""Ritual de la Ilusion Negra"". Una vez por turno: puedes selccionar 1 monstruo que controle tu adversario; equipa ese objetivo a esta carta. (Solo puedes equipar a esta carta 1 monstruo con este efecto cada vez). El ATK y DEF de esta carta se convierten en los del monstruo",#,#,Lanzador de Conjuros/Ritual,Oscuridad,1,0,0,11/01/2017,UR,Gratis
